eig
  	eigenvalue	percentage of variance	cumulative percentage of variance	
comp 1	3.16119981582283	28.7381801438439	28.7381801438439
comp 2	1.82488444639871	16.5898586036246	45.3280387474686
comp 3	1.66494004368071	15.1358185789156	60.4638573263842
comp 4	1.1648358777768		10.5894170706982	71.0532743970824
comp 5	0.897248007744137	8.15680007040124	79.2100744674836
comp 6	0.781463292789861	7.10421175263509	86.3142862201187
comp 7	0.570489084484316	5.18626440440287	91.5005506245216
comp 8	0.400859867201313	3.64418061092103	95.1447312354426
comp 9	0.320661735562043	2.91510668692766	98.0598379223702
comp 10	0.157071377748335	1.42792161589395	99.4877595382642
comp 11	0.0563464507909368	0.512240461735789	100

var
coord
   			Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
fixed.acidity		0.8827	-0.0166	-0.1808	-0.2058	-0.0691	
volatile.acidity	-0.4387	0.3582	-0.5846	-0.1217	0.2865	
citric.acid		0.8465	-0.0836	0.3069	-0.0531	-0.0598	
residual.sugar		0.2446	0.4966	0.2294	-0.4424	0.5798	
chlorides		0.1741	0.2471	-0.0642	0.7379	0.4214	
free.sulfur.dioxide	-0.2828	0.6445	0.4774	0.0778	-0.2283	
total.sulfur.dioxide	-0.0623	0.7793	0.4052	-0.0574	-0.2355	
density			0.7292	0.3251	-0.3484	-0.0162	0.1004	
pH			-0.7658	-0.0949	0.1285	0.076	0.186	
sulphates		0.4003	-0.1681	0.4939	0.4792	0.153	
alcohol			-0.1432	-0.4648	0.6047	-0.3459	0.3428	

cor
   			Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
fixed.acidity		0.8827	-0.0166	-0.1808	-0.2058	-0.0691	
volatile.acidity	-0.4387	0.3582	-0.5846	-0.1217	0.2865	
citric.acid		0.8465	-0.0836	0.3069	-0.0531	-0.0598	
residual.sugar		0.2446	0.4966	0.2294	-0.4424	0.5798	
chlorides		0.1741	0.2471	-0.0642	0.7379	0.4214	
free.sulfur.dioxide	-0.2828	0.6445	0.4774	0.0778	-0.2283	
total.sulfur.dioxide	-0.0623	0.7793	0.4052	-0.0574	-0.2355	
density			0.7292	0.3251	-0.3484	-0.0162	0.1004	
pH			-0.7658	-0.0949	0.1285	0.076	0.186	
sulphates		0.4003	-0.1681	0.4939	0.4792	0.153	
alcohol	-		0.1432	-0.4648	0.6047	-0.3459	0.3428	

cos2
   			Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
fixed.acidity		0.7791	3e-04	0.0327	0.0423	0.0048	
volatile.acidity	0.1925	0.1283	0.3417	0.0148	0.0821	
citric.acid		0.7166	0.007	0.0942	0.0028	0.0036	
residual.sugar		0.0598	0.2466	0.0526	0.1957	0.3361	
chlorides		0.0303	0.061	0.0041	0.5445	0.1775	
free.sulfur.dioxide	0.08	0.4154	0.2279	0.006	0.0521	
total.sulfur.dioxide	0.0039	0.6073	0.1642	0.0033	0.0555	
density			0.5318	0.1057	0.1214	3e-04	0.0101	
pH			0.5865	0.009	0.0165	0.0058	0.0346	
sulphates		0.1602	0.0283	0.2439	0.2297	0.0234	
alcohol			0.0205	0.216	0.3656	0.1196	0.1175	

contrib
   			Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
fixed.acidity		24.6452	0.0151	1.9636	3.6347	0.5325	
volatile.acidity	6.0895	7.0293	20.5248	1.2712	9.1468	
citric.acid		22.6692	0.3831	5.6573	0.2417	0.398	
residual.sugar		1.8925	13.5124	3.1614	16.8032	37.4603	
chlorides		0.9586	3.345	0.2478	46.7437	19.7873	
free.sulfur.dioxide	2.5301	22.7629	13.691	0.5194	5.8088	
total.sulfur.dioxide	0.1229	33.2808	9.8619	0.2828	6.1806	
density			16.8215	5.791	7.2916	0.0226	1.1225	
pH			18.5527	0.493	0.9913	0.4957	3.8569	
sulphates		5.0692	1.5487	14.6499	19.7155	2.61	
alcohol			0.6486	11.8388	21.9594	10.2695	13.0964	

ind
coord
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
1	0.9235	0.8931	0.5544	-0.5934	0.8946	
2	-1.0181	0.7916	-0.9121	-0.9115	2.912	
3	-1.8092	1.0863	0.4828	0.6056	-1.1692	
4	3.0768	-1.099	0.3392	-0.2811	0.5405	
5	-1.6552	1.3851	-0.0481	-0.0359	-0.6357	
6	-1.5844	-0.3762	-0.3499	-0.0579	0.9747	
7	-1.7859	0.7269	-0.3239	0.7722	1.1253	
8	-0.6113	-1.7703	2.3876	-0.784	-0.3981	
9	-1.0926	-0.3756	-1.4228	0.1764	-0.6839	
10	-1.1047	0.1309	0.0966	1.4474	-0.7301	
11	3.0941	0.9315	0.9183	0.3052	-0.3073	
12	0.5876	-0.2863	-0.1857	-0.4937	0.673	
13	2.2705	-1.3438	1.2708	-0.8867	0.7487	
14	-0.0399	0.0594	-1.6611	-0.1684	0.8836	
15	2.1251	-1.3668	0.2324	-0.0443	0.7081	
16	-0.0606	2.2225	-0.286	-0.3667	0.081	
17	0.677	-1.0991	0.0722	0.4494	-1.0889	
18	0.3541	0.0016	0.0317	-0.1545	0.3698	
19	-2.6305	0.2371	0.757	-0.6404	-0.0915	
20	-0.6178	1.2177	-0.1089	0.0735	-0.8346	
21	0.2793	-1.3169	2.0446	0.6442	-0.4931	
22	1.9105	-1.4682	-0.1366	-0.1204	0.4086	
23	-0.3275	0.1163	-0.479	-0.0459	-0.1123	
24	-2.6789	-0.6705	0.4778	-0.5982	1.5094	
25	0.0296	0.6356	0.5571	0.5434	-1.374	
26	-2.7318	0.6532	-1.099	-1.0111	-0.053	
27	-1.4796	-0.9945	-2.2761	-0.7059	-0.6069	
28	0.4654	-0.9141	-0.1544	0.739	0.508	
29	-1.7217	-1.2228	-1.4875	0.2389	-0.356	
30	-2.0912	-1.2718	-0.5665	-0.6905	0.9263	
31	-1.339	-0.3177	-1.3389	0.3894	0.2274	
32	-0.3046	-0.6214	-0.6068	0.1833	-0.55	
33	0.1901	1.2455	-0.4202	0.0511	-1.137	
34	-0.6983	-1.2475	-1.0188	0.4234	-0.8542	
35	0.9177	-0.5178	0.031	1.9846	-0.3511	
36	0.3449	0.0673	-2.1839	-0.3295	-0.1807	
37	-2.0073	-0.8239	-0.5307	0.8133	0.9829	
38	-1.3044	0.0796	-0.9309	0.4298	0.0625	
39	0.3234	2.1161	0.065	-0.374	-0.5055	
40	3.2197	-0.6524	-0.8616	0.6202	-0.4339	
41	-2.9697	-0.2424	0.9509	0.1058	-0.3729	
42	4.9619	1.5721	-0.884	-1.6723	1.8052	
43	-1.6512	-2.2041	-0.3417	-2.235	0.7249	
44	-1.2463	-1.0514	-1.2717	-0.8615	0.7284	
45	-1.7218	1.5354	1.0488	-0.0154	-0.4954	
46	-0.1257	0.667	2.1416	0.7138	-1.2759	
47	0.6814	-0.8723	1.2174	0.3617	-0.0929	
48	4.0484	2.0301	1.7083	10.1886	3.9332	
49	0.0199	-1.1353	2.5914	-0.0398	-0.2286	
50	0.7603	-1.0856	-0.5034	-0.0066	-0.0757	
51	1.6167	4.7303	0.8491	-1.9787	1.7859	
52	-1.5512	-1.4081	-0.4098	-0.2439	0.2401	
53	-0.0117	-0.737	2.3382	-0.3987	-0.911	
54	1.0437	-0.8105	1.1796	0.488	-0.4257	
55	-0.1224	3.1422	-0.517	-1.0838	0.99	
56	-3.5396	-2.1465	3.5936	-0.276	0.8667	
57	3.7792	-0.1844	-1.7379	-1.2322	-0.6514	
58	2.6235	0.2246	-0.1944	-0.6858	0.1281	
59	-0.9111	-0.0938	-1.9621	2.3352	1.2247	
60	1.3782	-2.364	1.2213	-0.8144	0.3364	
61	0.4359	-0.8298	1.1471	0.2218	-0.6135	
62	1.0041	-0.9681	2.4641	-0.3394	1.3904	
63	-0.7527	3.0176	-0.9248	-0.3247	0.3277	
64	-1.5531	0.2708	-0.9585	0.504	0.9707	
65	-0.895	1.924	-0.6911	-0.0862	1.3053	
66	-0.4604	1.2033	-0.9824	-0.3929	-0.5484	
67	-0.8547	0.9844	-1.5093	-0.2197	0.5864	
68	3.4431	-0.9912	-0.3012	-0.1077	-0.0683	
69	1.1696	-1.1919	-0.1641	0.8244	-1.0962	
70	-1.4286	-0.0433	-0.3334	0.1706	0.0356	
71	-0.85	0.4471	0.1646	0.4451	-0.9076	
72	-1.0181	0.7916	-0.9121	-0.9115	2.912	
73	-1.2653	0.5391	-1.5102	0.8936	-0.2366	
74	-1.0817	-0.2824	-0.0475	-9e-04	0.0829	
75	-1.1082	-0.0364	0.0133	1.2429	-0.8428	
76	-1.0318	3.1362	0.5644	-0.2563	-1.6114	
77	-0.3788	-0.2051	-0.3365	0.0512	-0.6006	
78	-0.3651	-0.6373	-1.0833	-0.0201	0.3921	
79	2.7081	-0.5117	-1.1766	0.1919	-0.6919	
80	3.0192	-2.0196	1.3582	1.1122	-0.1646	
81	-0.0097	-1.3287	0.18	-0.4114	0.2558	
82	-1.9549	0.1733	0.2725	0.0625	0.0732	
83	-0.2968	-0.3175	1.8628	-0.3761	0.2364	
84	-0.7256	1.4058	-0.2356	0.0394	-1.0457	
85	-0.4246	1.159	-2.2251	-0.621	0.526	
86	1.1514	-0.5462	0.3638	0.3387	0.2639	
87	-1.6648	1.3348	-1.8163	-0.4471	-0.0881	
88	-1.1316	0.8272	0.8806	0.1536	-0.214	
89	1.4691	-0.6162	0.0655	0.1456	0.0593	
90	0.6218	2.8423	1.6219	-1.829	3.065	
91	0.4295	1.3338	2.6289	1.0943	-1.5437	
92	2.6526	-1.9387	1.1929	1.0829	-0.1859	
93	-0.5296	0.7169	-0.8654	-0.2058	-0.2983	
94	2.9182	-0.7974	-1.3781	-0.5925	-0.5747	
95	1.1381	-0.5798	-1.9959	-1.2136	-0.6136	
96	0.8339	-0.3362	-1.1698	0.9575	0.2348	
97	-0.314	-0.0393	-1.5969	0.8256	0.476	
98	-2.3948	-2.0441	0.1659	-0.0072	0.3409	
99	1.723	-0.6974	0.0019	0.0298	-1.2249	
100	-0.6274	-0.8594	-1.2066	-1.1602	1.0145	
101	-0.5673	-0.678	-0.6899	-0.167	0.8376	
102	1.0343	5.8554	6.0663	-3.9787	-0.3111	
103	-1.2044	-1.25	0.9382	0.7126	0.2624	
104	-0.7572	-0.2221	-2.2138	-0.3293	-0.3549	
105	-2.1313	1.7239	0.5397	0.0503	-0.8706	
106	2.3941	0.3353	-0.0049	-0.0849	-0.9731	
107	2.8717	-0.005	1.3175	-1.2801	3.2234	
108	-2.1689	0.3788	-2.5578	-0.3403	1.675	
109	-1.6223	3.2794	0.1646	-0.1774	-0.5553	
110	1.0503	0.3817	1.0204	-0.2404	-0.2226	
111	3.726	-0.775	-0.5194	-0.4585	0.2023	
112	0.1099	1.7947	-0.4	0.5137	0.159	
113	-2.2439	-0.6851	1.8553	-1.045	0.2269	
114	-0.3598	-0.1978	-1.2045	0.1112	-1.2451	
115	1.3796	-0.4312	-0.2618	-0.2556	-0.559	
116	3.3829	-0.894	-0.4429	-0.2105	-1.3811	
117	0.6247	1.1163	1.1561	0.3561	-1.0362	
118	-1.821	1.5631	0.2317	0.3987	-0.9578	
119	-0.5094	-1.7003	1.0669	-0.5936	0.1622	
120	-0.8146	1.4593	0.8809	-0.2603	0.7165	
121	0.185	2.1249	0.3768	0.0486	-1.8021	
122	1.1455	-1.2259	0.8232	0.7764	0.7873	
123	-1.2032	-1.5563	0.5262	-0.6302	0.0274	
124	0.3539	1.1007	-0.2282	0.0533	0.0621	
125	1.8387	4.9438	1.5682	0.7201	2.3141	
126	-0.6015	-0.1073	-0.8022	0.6329	-0.3372	
127	0.4995	-1.8563	1.7091	-0.4718	0.223	
128	1.6657	-0.7022	0.3285	-0.2802	-0.6536	
129	4.38	-0.5963	-0.7554	-0.368	-0.5625	
130	0.2685	1.3596	-0.3018	-0.389	0.3518	
131	4.0974	0.137	0.3741	-2.5618	2.0135	
132	0.0235	-0.0289	0.0987	0.7647	-1.3566	
133	0.0543	-1.2191	-1.0571	0.4434	-0.4943	
134	-3.0666	-1.5393	-0.1998	-1.7133	0.7551	
135	3.1542	0.3553	-0.5001	-1.2317	1.9472	
136	-0.9203	-0.4045	-1.5744	0.1539	-0.1711	
137	-1.3088	-0.4739	-0.3576	0.0691	-0.0314	
138	-1.5475	0.6464	-1.5102	-0.1152	-0.8536	
139	-1.9576	-0.7796	1.5195	0.2796	0.2862	
140	-1.8232	0.4203	0.3278	0.238	-0.0505	
141	4.47	-0.1531	-1.8829	-0.8889	-0.7162	
142	3.4332	0.0119	-1.3661	-1.0976	-0.5028	
143	0.0633	-0.3443	-1.7119	-0.4302	-0.3479	
144	-1.3093	1.1858	-0.3826	0.6405	-1.4886	
145	0.4311	-1.1049	0.8631	-0.1954	-0.2514	
146	-3.5345	-1.3128	1.3443	-0.655	1.0279	
147	-0.656	-0.3196	-0.4657	0.7314	0.0014	
148	0.1222	-0.5273	2.2095	-0.4097	-0.5866	
149	-1.8157	0.0931	1.027	1.1822	0.8696	
150	0.7334	-0.9806	-0.1283	0.0145	-0.7269	
151	-2.4268	-0.6861	-1.6282	-9e-04	0.8148	
152	-0.0287	0.0687	-1.381	-0.1598	0.8717	
153	-0.0587	-0.5448	2.207	0.8201	-0.3996	
154	0.0371	-0.1535	-0.7038	0.1385	-0.2568	
155	-1.4948	1.4342	-0.3682	0.232	-0.1436	
156	-1.2756	-2.9628	1.141	-0.7617	0.2782	
157	-2.5941	-1.0671	0.8187	0.6094	0.6314	
158	3.066	0.7437	-1.6375	-0.4753	-0.7677	
159	-3.0913	-2.0209	-0.0916	-0.7505	0.4867	
160	-1.9427	0.322	0.5802	0.3646	-0.0333	
161	1.9434	1.7523	-0.3708	-0.4529	-1.4974	
162	3.0095	-1.1837	1.3344	-1.2875	1.9687	
163	-0.7348	0.6147	-0.4548	0.0048	-0.1609	
164	-0.7496	1.7283	-1.3548	-0.2837	-0.8886	
165	0.3422	-0.2896	1.9493	0.1051	-1.4539	
166	-1.2204	-0.3535	-1.2252	-0.1081	-0.0426	
167	-1.3749	-0.3038	-1.3058	0.4587	0.1645	
168	-0.3206	0.938	-1.2831	-0.5588	-0.9912	
169	0.0075	0.2536	-0.2831	-0.274	0.4013	
170	1.1526	-2.1557	0.9579	1.6853	-0.2301	
171	2.3483	-1.5846	0.6319	-0.2548	0.4467	
172	-1.3042	-0.6327	0.4783	0.3347	-0.5514	
173	3.1065	-1.1029	-0.4638	0.45	-0.3618	
174	0.5772	0.5683	0.0084	0.4825	-0.8421	
175	-2.5038	0.7062	2.0341	0.4808	-0.3246	
176	-1.5126	0.6328	-1.5726	0.2905	0.2461	
177	0.906	-0.1499	-0.6628	-1.2146	-0.2044	
178	-1.7774	0.9909	-1.9033	3.9156	1.8854	
179	0.4906	-0.128	-1.9235	-0.5906	0.355	
180	-1.1936	0.5295	-1.8164	-0.1424	0.4102	
181	0.2403	-0.5563	3.0824	0.2671	-0.0227	
182	-1.1725	1.6406	1.5693	0.0986	-1.4565	
183	-0.2839	-0.1573	-0.4567	0.7763	-0.9938	
184	-1.0801	0.2684	-1.2167	0.4165	-0.4679	
185	0.7836	-1.7611	1.6669	0.113	-0.2836	
186	0.4017	3.0953	0.6937	1.002	-1.0443	
187	0.8473	-0.5223	0.5979	-0.0887	-0.3947	
188	-0.3956	0.6517	1.7359	0.3049	-0.3359	
189	-1.3996	0.6295	-0.8891	0.4101	-0.9687	
190	-0.0639	0.9097	-0.3677	0.6154	-0.9642	
191	-0.645	-2.547	0.6166	-0.4614	-0.9471	
192	-1.3143	-1.6206	-0.8335	-0.8664	0.6878	
193	3.0456	0.3532	0.0851	1.3483	-0.4978	
194	-2.8476	-1.0088	-1.1822	-0.3012	0.6108	
195	-0.1331	-1.3295	1.2432	0.0393	-0.4942	
196	0.5145	-1.6425	0.3433	0.0515	0.6189	
197	3.6844	0.3079	-1.7698	-0.1673	-0.5498	
198	-0.421	2.4447	0.7642	0.3386	-1.6062	
199	3.5475	-0.622	-1.3303	0.1172	-1.1464	
200	-2.9967	-1.3897	3.6469	-0.2121	0.513	

cos2
   	Dim.1	Dim.2	Dim.3	Dim.4	Dim.5	
1	0.1442	0.1348	0.052	0.0595	0.1353	
2	0.0738	0.0446	0.0592	0.0591	0.6034	
